source_id,category,focus_area,name,organization,url,access_type,data_type,license_notes,recommended_use,priority,last_verified,notes
CP-COPPA-CFR,compliance_policy,compliance,"COPPA Regulation Text 16 CFR Part 312","Cornell LII mirror of eCFR",https://www.law.cornell.edu/cfr/text/16/part-312,public,regulatory_text,"Mirror of US regulation text. Validate against official federal publication for legal filings.","Define consent, retention, and notice requirements in product policy engine.",1,2026-02-22,"Requires legal review before final district contracts."
CP-COPPA-FTC-2025,compliance_policy,compliance,"FTC COPPA Rule Update 2025","Federal Trade Commission",https://www.ftc.gov/news-events/news/press-releases/2025/01/ftc-finalizes-changes-childrens-privacy-rule-limiting-companies-ability-monetize-kids-data,public,regulatory_update,"FTC announcement of COPPA updates.","Update under-13 consent and data handling controls.",1,2026-02-22,"Important for grades where students are under 13."
CP-DOE-AI-2025,compliance_policy,district_policy,"US DOE AI Guidance Announcement July 2025","US Department of Education",https://www.ed.gov/about/news/press-release/us-department-of-education-issues-guidance-artificial-intelligence-use-schools-proposes-additional-supplemental-priority,public,policy_update,"Federal AI in schools policy direction and priority signals.","Support DOE and district procurement narratives for responsible AI.",2,2026-02-22,"Use as policy context for district communications."
CP-FERPA-CFR,compliance_policy,compliance,"FERPA Regulation Text 34 CFR Part 99","Cornell LII mirror of eCFR",https://www.law.cornell.edu/cfr/text/34/part-99,public,regulatory_text,"Mirror of US regulation text. Validate against official federal publication for legal filings.","Implement deterministic FERPA compliance checks and policy mapping.",1,2026-02-22,"Use legal counsel review for production policy language."
CP-FERPA-GUIDANCE,compliance_policy,compliance,"Student Privacy Guidance Portal","US Department of Education",https://studentprivacy.ed.gov/guidance,public,policy_guidance,"Federal guidance portal for FERPA and student privacy practices.","Build district-facing privacy playbooks and admin documentation.",1,2026-02-22,"Primary federal guidance source for student privacy workflows."
CP-IDEA-CFR,compliance_policy,special_education,"IDEA Regulation Text 34 CFR Part 300","Cornell LII mirror of eCFR",https://www.law.cornell.edu/cfr/text/34/part-300,public,regulatory_text,"Mirror of US regulation text. Validate against official federal publication for legal filings.","Extract machine-readable rule checks for SPED draft validation.",1,2026-02-22,"Do not automate final legal decisions without educator approval."
CP-IDEA-HOME,compliance_policy,special_education,"IDEA Home","US Department of Education OSEP",https://sites.ed.gov/idea/,public,program_portal,"Federal source for IDEA information and updates.","Anchor SPED workflows and documentation references.",1,2026-02-22,"Primary federal source for SPED alignment."
CP-IDEA-STATUTE,compliance_policy,special_education,"IDEA Statute And Regulations","US Department of Education OSEP",https://sites.ed.gov/idea/statuteregulations/,public,regulatory_text,"Statute and regulation resource pages.","Build deterministic pre-export checks for IEP related drafts.",1,2026-02-22,"Use for legal citation mapping in compliance engine."
CP-OCR-DISABILITY-LAWS,compliance_policy,special_education,"Disability Discrimination Overview Of Laws","US Department of Education OCR",https://www.ed.gov/laws-and-policy/civil-rights-laws/disability-discrimination/disability-discrimination-overview-of-laws,public,policy_guidance,"Overview of disability civil rights laws in education contexts.","Cross-reference legal obligations in admin compliance dashboards.",2,2026-02-22,"Reference only; enforce with district legal policy maps."
CP-SECTION504-PROTECT,compliance_policy,special_education,"Protecting Students With Disabilities","US Department of Education OCR",https://www.ed.gov/laws-and-policy/civil-rights-laws/protecting-students-disabilities,public,policy_guidance,"OCR guidance for disability protections in schools.","Scope 504-related support artifacts and parent communication guidance.",2,2026-02-22,"Pair with district legal interpretation for operational rules."
CT-CK12-LICENSE,content_library,instructional_content,"CK-12 Curriculum Materials License","CK-12 Foundation",https://www.ck12info.org/curriculum-materials-license/,public,license_terms,"CK-12 license sets conditions for curriculum materials usage.","Define allowable retrieval and transformation boundaries.",2,2026-02-22,"Verify AI training and caching permissions before scale usage."
CT-OER-IMPORT-GDOCS,content_library,instructional_content,"OER Commons Import From Google Docs","OER Commons",https://help.oercommons.org/support/solutions/articles/42000046851-import-from-google-docs,public,help_docs,"Provider workflow docs; content rights depend on uploaded material.","Understand authoring and import practices used by teachers.",3,2026-02-22,"Useful for interoperability and teacher publishing flows."
CT-OER-SEARCH,content_library,instructional_content,"OER Commons Search Guide","OER Commons",https://help.oercommons.org/support/solutions/articles/42000046863-search-for-content,public,help_docs,"Content licensing varies by item. Check each resource license.","Source open instructional texts and media for retrieval context.",2,2026-02-22,"Build per-item license filter in ingestion pipeline."
CT-OER-SUBMIT,content_library,instructional_content,"OER Commons Submit OER Guide","OER Commons",https://help.oercommons.org/support/solutions/articles/42000046849-submit-oer,public,help_docs,"Submission terms apply by platform policy.","Design future teacher template sharing with proper rights handling.",3,2026-02-22,"Reference for ecosystem and community workflows."
CT-OPENSTAX-LICENSE,content_library,instructional_content,"OpenStax License","OpenStax Rice University",https://openstax.org/license,public,license_terms,"OpenStax content available under Creative Commons terms listed on site.","Use legally compliant open content snippets for lesson support.",2,2026-02-22,"Respect attribution and adaptation requirements."
IN-CANVAS-API,integration_api,integration,"Canvas LMS API Documentation",Instructure,https://canvas.instructure.com/doc/api/,public,api_docs,"Canvas API and platform terms apply.","Read course context and publish approved artifacts.",2,2026-02-22,"Plan phased rollout after Google ecosystem basics."
IN-CLASSLINK-APISANDBOX,integration_api,integration,"ClassLink API Sandbox",ClassLink,https://apisandbox.classlink.com/,partner,sandbox_portal,"Access may require approved developer credentials.","Validate ClassLink integration flows in non-production environment.",3,2026-02-22,"Potentially gated; start partner conversation early."
IN-CLASSLINK-ROSTER,integration_api,integration,"ClassLink Roster Server",ClassLink,https://www.classlink.com/products/roster-server,public,product_docs,"ClassLink partnership and district permissions may be required.","Plan ClassLink roster ingestion options for district pilots.",2,2026-02-22,"Confirm API and licensing path with ClassLink partner team."
